iter	MultiClass
0	1.505292842
1	1.474328673
2	1.442448516
3	1.417163168
4	1.382890162
5	1.36034272
6	1.332328166
7	1.314589316
8	1.293538154
9	1.274356503
10	1.251244098
11	1.229257312
12	1.210775234
13	1.186928292
14	1.167986079
15	1.144534041
16	1.127068977
17	1.106332029
18	1.092626065
19	1.076965145
20	1.065584956
21	1.054532782
22	1.0452459
23	1.033449763
24	1.022295511
25	1.014496113
26	1.004526154
27	0.993707334
28	0.9803111846
29	0.9704455018
30	0.959482261
31	0.948946799
32	0.9414930302
33	0.9348108403
34	0.9277713184
35	0.9202565668
36	0.9102300938
37	0.9043681693
38	0.8981877709
39	0.8925542193
40	0.8793146093
41	0.8709609871
42	0.8633953728
43	0.8571499609
44	0.8517970983
45	0.8446809319
46	0.8369262217
47	0.8312629942
48	0.8251841949
49	0.8197336411
50	0.8128709975
51	0.8063735681
52	0.8011359261
53	0.7970419455
54	0.7933846071
55	0.7889322684
56	0.784068798
57	0.7799258445
58	0.7734076715
59	0.7675141495
60	0.7625278816
61	0.7562445827
62	0.7519677444
63	0.7476148719
64	0.7418329649
65	0.7374076621
66	0.7345975103
67	0.731541315
68	0.7260108822
69	0.7213971805
70	0.7157505194
71	0.7126938608
72	0.7092992967
73	0.7070148132
74	0.7041536952
75	0.7000699987
76	0.6964908999
77	0.6924936908
78	0.6884393363
79	0.6857670068
80	0.6835163582
81	0.6811270389
82	0.6784472435
83	0.6766663312
84	0.6724674273
85	0.6690413846
86	0.6669498247
87	0.6641207376
88	0.6605037841
89	0.6571594236
90	0.654396228
91	0.6518847239
92	0.6506322987
93	0.6464294499
94	0.6440632938
95	0.642273161
96	0.6394855009
97	0.6370609348
98	0.635171142
99	0.6320035532
100	0.6280365798
101	0.6259089732
102	0.6228945342
103	0.6198915349
104	0.617702311
105	0.6157440295
106	0.6143189114
107	0.610792912
108	0.6085702444
109	0.6071382894
110	0.6053949258
111	0.6042671226
112	0.6028632841
113	0.6015118749
114	0.6000420205
115	0.5979159013
116	0.5959375579
117	0.5945021597
118	0.5925618151
119	0.5914161795
120	0.589342655
121	0.5880649084
122	0.5863764176
123	0.5847082706
124	0.5825580924
125	0.5804185314
126	0.5784104591
127	0.5770783617
128	0.5760435207
129	0.5746456474
130	0.573454269
131	0.5721789923
132	0.569919874
133	0.5688386541
134	0.5667517358
135	0.5655845549
136	0.5638626724
137	0.5612882056
138	0.5605112829
139	0.55876312
140	0.5576302274
141	0.5564988365
142	0.5548711142
143	0.5533146388
144	0.5521559478
145	0.5513424536
146	0.5498790424
147	0.5490186101
148	0.5477625827
149	0.5471708544
150	0.5447549558
151	0.543238808
152	0.5414926918
153	0.5405273383
154	0.5387379306
155	0.5376974119
156	0.5349454546
157	0.5339983113
158	0.5328350617
159	0.531845401
160	0.5314208643
161	0.5304918955
162	0.529782648
163	0.5291534536
164	0.5277017009
165	0.5262953057
166	0.524335109
167	0.5231304305
168	0.5200171656
169	0.5188374574
170	0.5174809723
171	0.5159015561
172	0.5140734742
173	0.5129288289
174	0.5117223464
175	0.510696185
176	0.5096666085
177	0.5077522917
178	0.5067957619
179	0.5064330153
180	0.5056744253
181	0.5048582659
182	0.5032005395
183	0.5013636525
184	0.5006112563
185	0.4998844845
186	0.4989435716
187	0.498355445
188	0.4976181296
189	0.4964761297
190	0.4954626482
191	0.4948193545
192	0.4941211389
193	0.4927216908
194	0.4921408296
195	0.4913435341
196	0.4906451514
197	0.4894553336
198	0.4882322207
199	0.4876894804
200	0.4868616578
201	0.4863411764
202	0.4857130551
203	0.4855149481
204	0.4836261334
205	0.4832190884
206	0.4823556001
207	0.4809948539
208	0.4803302583
209	0.4798508686
210	0.4787026752
211	0.4782505881
212	0.4774091
213	0.4767302664
214	0.4750421853
215	0.473140636
216	0.4720986624
217	0.4709672295
218	0.4704218058
219	0.4699095753
220	0.4688703509
221	0.4684009023
222	0.467929165
223	0.4673998557
224	0.4669554605
225	0.466225459
226	0.4658394637
227	0.465116121
228	0.464491374
229	0.4631792301
230	0.4628879223
231	0.4622829546
232	0.4615846345
233	0.4611740736
234	0.4604434375
235	0.4598026306
236	0.4593035925
237	0.4587637123
238	0.4583942317
239	0.4579462444
240	0.4574092683
241	0.4567116556
242	0.4563697426
243	0.4558157792
244	0.4554738475
245	0.4548423169
246	0.4545092346
247	0.4540451043
248	0.4537083435
249	0.4532121049
250	0.4514572113
251	0.4508451849
252	0.4499549312
253	0.4494286205
254	0.4484816185
255	0.4474058239
256	0.4468375622
257	0.4463716822
258	0.4460580169
259	0.4455075514
260	0.4451097238
261	0.4440626468
262	0.4438397461
263	0.4434690835
264	0.4431733008
265	0.4430025059
266	0.4427574541
267	0.4423556335
268	0.4420180017
269	0.4416410448
270	0.4409150325
271	0.4395339508
272	0.439066574
273	0.4385644163
274	0.4374560714
275	0.4371299526
276	0.436239935
277	0.4357159385
278	0.4350272608
279	0.4347011152
280	0.4344957744
281	0.4338486453
282	0.433527849
283	0.4325990736
284	0.4316585026
285	0.4311016941
286	0.4308594107
287	0.4305314446
288	0.4299374204
289	0.4291247003
290	0.4283645685
291	0.4280477737
292	0.4277267036
293	0.4263283609
294	0.4256224081
295	0.4249434069
296	0.4247206913
297	0.4238494468
298	0.4233879239
299	0.422561793
